INFO:Train: Start training Gaussian_PnP_ADMM_2iters_MultiEllipse on /home/michaelbertagna/git/Galaxy-Deconv/simulated_datasets/LSST_23.5_deconv data for 20 epochs.
INFO:Dataset: Successfully constructed train dataset. Total Samples: 40000.
/home/michaelbertagna/git/Galaxy-Deconv/Galaxy-Deconv.env/lib/python3.11/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
INFO:Train: [3: 650/1125]  train_loss=4.392  val_loss=7.643
INFO:Train: [3: 675/1125]  train_loss=4.119  val_loss=7.786
INFO:Train: [3: 700/1125]  train_loss=4.01  val_loss=7.792
INFO:Train: [3: 725/1125]  train_loss=4.602  val_loss=7.793
INFO:Train: [3: 750/1125]  train_loss=6.987  val_loss=7.793
INFO:Train: [3: 775/1125]  train_loss=3.722  val_loss=7.793
INFO:Train: [3: 800/1125]  train_loss=3.724  val_loss=7.793
INFO:Train: [3: 825/1125]  train_loss=4.961  val_loss=7.792
INFO:Train: [3: 850/1125]  train_loss=8.378  val_loss=7.792
INFO:Train: [3: 875/1125]  train_loss=3.892  val_loss=7.792
INFO:Train: [3: 900/1125]  train_loss=5.345  val_loss=7.792
INFO:Train: [3: 925/1125]  train_loss=6.809  val_loss=7.792
INFO:Train: [3: 950/1125]  train_loss=4.058  val_loss=7.792
INFO:Train: [3: 975/1125]  train_loss=2.571  val_loss=7.791
INFO:Train: [3: 1000/1125]  train_loss=10.49  val_loss=7.791
INFO:Train: [3: 1025/1125]  train_loss=2.18  val_loss=7.791
INFO:Train: [3: 1050/1125]  train_loss=4.271  val_loss=7.791
INFO:Train: [3: 1075/1125]  train_loss=3.437  val_loss=7.791
INFO:Train: [3: 1100/1125]  train_loss=9.612  val_loss=7.791
INFO:Train: [3: 1125/1125]  train_loss=3.67  val_loss=7.791
INFO:Train: [3: 1125/1125]  train_loss=1.186e+05  val_loss=7.791
INFO:Train: [4: 25/1125]  train_loss=5.418  val_loss=7.791
INFO:Train: [4: 50/1125]  train_loss=3.222  val_loss=7.789
INFO:Train: [4: 75/1125]  train_loss=7.453  val_loss=7.789
INFO:Train: [4: 100/1125]  train_loss=6.449  val_loss=7.789
INFO:Train: [4: 125/1125]  train_loss=8.038  val_loss=7.789
INFO:Train: [4: 150/1125]  train_loss=4.701  val_loss=7.789
INFO:Train: [4: 175/1125]  train_loss=8.936  val_loss=7.788
INFO:Train: [4: 200/1125]  train_loss=10.72  val_loss=7.788
INFO:Train: [4: 225/1125]  train_loss=2.12  val_loss=7.788
INFO:Train: [4: 250/1125]  train_loss=4.86  val_loss=7.788
INFO:Train: [4: 275/1125]  train_loss=8.199  val_loss=7.788
INFO:Train: [4: 300/1125]  train_loss=7.803  val_loss=7.788
INFO:Train: [4: 325/1125]  train_loss=5.796  val_loss=7.788
INFO:Train: [4: 350/1125]  train_loss=1.383e+08  val_loss=7.802
INFO:Train: [4: 375/1125]  train_loss=5.703  val_loss=8.386
INFO:Train: [4: 400/1125]  train_loss=11.25  val_loss=8.445
INFO:Train: [4: 425/1125]  train_loss=4.195  val_loss=8.45
INFO:Train: [4: 450/1125]  train_loss=7.564  val_loss=8.45
INFO:Train: [4: 475/1125]  train_loss=7.485  val_loss=8.45
INFO:Train: [4: 500/1125]  train_loss=5.335  val_loss=8.45
INFO:Train: [4: 525/1125]  train_loss=3.284  val_loss=8.45
INFO:Train: [4: 550/1125]  train_loss=9.148  val_loss=8.45
INFO:Train: [4: 575/1125]  train_loss=10.57  val_loss=8.45
INFO:Train: [4: 600/1125]  train_loss=4.682  val_loss=8.449
INFO:Train: [4: 625/1125]  train_loss=6.667  val_loss=8.449
INFO:Train: [4: 650/1125]  train_loss=4.65  val_loss=8.449
INFO:Train: [4: 675/1125]  train_loss=6.162  val_loss=8.449
INFO:Train: [4: 700/1125]  train_loss=2.421  val_loss=8.449
INFO:Train: [4: 725/1125]  train_loss=8.109  val_loss=8.449
INFO:Train: [4: 750/1125]  train_loss=5.423  val_loss=8.449
INFO:Train: [4: 775/1125]  train_loss=8.634  val_loss=8.449
